,Rank,Team,Conference,Record,Road,Neutral,Home,Non Div I
205,206,UMass Lowell,America East,24-31,15-20,1-2,8-9,0-0
206,207,Central Ark.,ASUN,26-30,9-14,3-2,14-14,0-0
207,208,Merrimack,NEC,33-26,15-14,3-5,15-7,0-0
208,209,Florida A&M,SWAC,29-27,11-10,5-4,13-13,0-0
209,210,NIU,MAC,21-33,13-25,1-1,7-7,0-0
210,211,Villanova,Big East,18-33,13-23,0-1,5-9,0-0
211,212,Cornell,Ivy League,17-21,8-14,2-2,7-5,0-0
212,213,Southern Ind.,OVC,27-32,9-18,2-4,16-10,0-0
213,214,Longwood,Big South,23-29,10-20,0-0,13-9,0-0
214,215,Wagner,NEC,26-30,11-20,1-2,14-8,0-0
215,216,Richmond,Atlantic 10,27-32,7-13,3-2,17-17,0-0
216,217,Sacramento St.,WAC,26-31,12-12,1-1,13-18,0-0
217,218,Arkansas St.,Sun Belt,21-32,6-20,0-0,15-12,0-0
218,219,LMU (CA),WCC,24-30,6-18,1-1,17-11,0-0
219,220,Gardner-Webb,Big South,22-31,7-15,0-0,15-16,0-0
220,221,A&M-Corpus Christi,Southland,21-35,10-13,2-3,9-19,1-0
221,222,Bethune-Cookman,SWAC,32-27,9-14,3-2,20-11,0-0
222,223,St. Bonaventure,Atlantic 10,18-31,10-24,0-0,8-7,0-0
223,224,Lehigh,Patriot,23-23,12-14,2-1,9-8,1-0
224,225,UNC Asheville,Big South,22-28,3-17,0-0,19-11,0-0
225,226,Middle Tenn.,CUSA,20-36,9-17,0-1,11-18,0-0
226,227,Lipscomb,ASUN,22-34,9-19,1-1,12-14,0-0
227,228,NJIT,America East,26-28,12-21,1-2,13-5,0-0
228,229,Davidson,Atlantic 10,24-28,5-16,1-0,18-12,0-0
229,230,Texas Southern,SWAC,21-25,10-20,3-3,8-2,2-0
230,231,UNLV,Mountain West,26-26,10-14,0-1,16-11,0-0
231,232,The Citadel,SoCon,21-32,5-13,0-1,16-18,0-0
232,233,George Mason,Atlantic 10,21-32,3-17,1-5,17-10,0-0
233,233,Grambling,SWAC,25-28,9-13,7-8,9-7,1-0
234,235,San Diego St.,Mountain West,17-37,4-23,0-0,13-14,0-0
235,236,Houston Christian,Southland,18-31,6-19,2-3,10-9,0-0
236,237,Jackson St.,SWAC,32-20,9-9,6-4,17-7,4-0
237,238,Cal St. Fullerton,Big West,16-38,4-18,1-2,11-18,0-0
238,239,FDU,NEC,26-30,11-23,1-2,14-5,0-0
239,240,Winthrop,Big South,19-29,4-15,0-1,15-13,0-0
240,241,North Dakota St.,Summit League,19-30,12-20,1-2,6-8,1-0
241,242,Valparaiso,MVC,14-38,8-27,0-1,6-10,0-0
242,243,Towson,CAA,15-39,3-22,1-1,11-16,0-0
243,244,Lafayette,Patriot,14-35,5-25,0-0,9-10,0-0
244,245,Tennessee Tech,OVC,29-26,7-12,0-1,22-13,0-0
245,246,Binghamton,America East,21-29,8-20,1-0,12-9,0-0
246,247,Purdue Fort Wayne,Horizon,19-37,11-25,1-2,7-10,0-0
247,248,Quinnipiac,MAAC,20-30,7-25,0-0,13-5,0-0
248,249,Stonehill,NEC,18-29,10-22,0-0,8-7,0-0
249,250,North Florida,ASUN,21-30,8-13,0-0,13-17,0-0
250,251,Ohio,MAC,18-32,8-20,0-0,10-12,0-0
251,252,SIUE,OVC,20-34,8-22,1-1,11-11,1-0
252,253,Marist,MAAC,20-35,13-23,2-2,5-10,0-0
253,254,Canisius,MAAC,18-30,11-21,0-2,7-7,0-0
254,255,Eastern Ill.,OVC,20-32,12-20,0-1,8-11,0-1
255,256,Radford,Big South,16-34,4-21,0-0,12-13,0-0
256,257,Le Moyne,NEC,22-27,12-22,0-0,10-5,0-0
257,258,Prairie View,SWAC,26-25,8-18,6-2,12-5,3-1
258,259,Bradley,MVC,12-37,7-24,4-1,1-12,1-0
259,260,Eastern Ky.,ASUN,21-37,8-18,0-2,13-17,0-0
260,261,Oral Roberts,Summit League,27-32,9-14,3-1,15-17,0-0
261,262,Alabama St.,SWAC,29-27,12-12,2-4,15-11,0-0
262,263,UC Riverside,Big West,16-36,4-17,0-0,12-19,0-0
263,264,South Dakota St.,Summit League,19-29,14-18,1-4,4-7,1-0
264,265,Yale,Ivy League,18-23,8-15,0-0,10-8,0-0
265,266,Delaware St.,NEC,22-27,10-12,0-2,12-13,0-0
