"Year","Team","ERA","W","L","APP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","AB","BAA","WP","HBP","BK","SFA","SHA"
2001,"Virginia",5.02,25,31,56,56,12,2,0,5,489.0,599,358,273,214,296,88,11,37,1965,.305,36,43,5,38,44
2001,"Wake Forest",4.87,44,18,62,62,3,0,0,17,551.0,600,368,298,242,423,116,9,46,2163,.277,55,69,7,23,24
2001,"Washington",5.45,29,23,52,52,3,3,1,12,455.2,513,334,276,205,316,91,4,42,"",.285,52,57,8,26,24
2001,"Washington State",7.24,15,39,54,54,3,0,0,5,462.1,630,451,372,219,243,132,18,64,1916,.329,27,64,11,31,22
2001,"Western Carolina",6.06,30,26,56,56,2,1,0,11,481.0,621,408,324,182,325,122,17,65,"",.310,57,39,4,16,29
2001,"Xavier",6.27,21,34,55,55,19,3,1,2,435.0,556,412,303,198,283,93,11,57,1800,.309,46,47,3,26,16
2001,"Youngstown State",6.43,24,30,55,55,9,3,1,6,429.2,533,378,307,252,424,100,10,51,1746,.305,49,36,6,17,22
2002,"Air Force",7.96,27,28,55,55,10,0,0,8,453.2,642,485,401,219,339,154,24,69,1939,.331,42,64,21,30,15
2002,"Akron",8.17,18,33,51,51,5,2,0,6,403.1,553,423,366,224,320,"","","","","","","","","",""
2002,"Alabama A&M",6.59,13,25,39,39,8,2,0,0,274.1,320,300,201,213,175,56,11,20,1107,.289,69,43,10,23,15
2002,"Alabama-Birmingham",6.01,16,40,56,56,1,0,0,5,492.1,614,393,329,242,389,"","","","","","","","","",""
2002,"Alabama",3.58,51,15,66,66,11,4,4,22,588.1,616,283,234,149,446,112,7,45,2296,.268,30,42,15,15,27
2002,"Alabama State",6.34,23,26,50,50,14,2,1,4,363.1,450,357,256,195,201,98,10,55,1525,.295,32,47,16,18,12
2002,"Albany",5.36,20,30,50,50,16,5,1,0,368.0,406,288,219,168,271,86,15,31,1480,.274,34,35,11,24,18
