,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,ER,ERA,RA,PO,A,E,PCT,APG,EPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,OBP,OPS,PYTHAG,wOBA,wRAA,oWAR_z,pWAR_z,fWAR,ISO,wRC+,BB%,BABIP,RA9,FIP,LOB%,K/BB,Rating,Conference
214,New York Tech,46,1536,465,0.303,10.108695652173912,33.391304347826086,0.302734375,199.0,4.326086956521739,386.1,221,5.15,293,1159,479,91,0.947,10.41304347826087,1.9782608695652173,265.0,5.760869565217392,589,0.383,5.823986194995686,4.635893011216566,1.6187516187516187,0.3855693348365276,0.7685693348365277,0.454,0.3236811128945961,-43.988572706682426,-0.4226988272639632,-1.2454172663787977,-1.6681160936427608,0.08072916666666667,84.6632615095469,0.10647405029427501,0.2919614147909968,6.82983682983683,1.3019215505894013,0.5711216247431854,1.256281407035176,-2.31,Independent
215,Duquesne,55,1767,504,0.285,9.163636363636364,32.127272727272725,0.28522920203735147,231.0,4.2,447.2,334,6.71,396,1343,563,101,0.95,10.236363636363636,1.8363636363636364,290.0,5.2727272727272725,684,0.387,6.212211466865227,4.644080416976918,1.8090339892665475,0.37802516940948694,0.765025169409487,0.361,0.32540678754067875,-42.535269083429334,-0.40873361540533354,-0.559233415947342,-0.9679670313526756,0.10186757215619695,87.11420501851089,0.10739191073919108,0.2727780883174958,7.9695885509839,1.2523311759907656,0.5457443050660884,1.3376623376623376,-2.34,Atlantic 10
216,Massachusetts,49,1540,380,0.247,7.755102040816326,31.428571428571427,0.24675324675324675,210.0,4.285714285714286,403.2,260,5.8,332,1210,470,80,0.955,9.591836734693878,1.6326530612244898,224.0,4.571428571428571,544,0.353,7.112303881090008,4.682080924855491,1.7286706349206349,0.3521282476506357,0.7051282476506358,0.327,0.3085105234754452,-104.88227130393075,-1.007843863827332,-0.9197947572682601,-1.927638621095592,0.10649350649350649,63.116756350865465,0.11332973556395035,0.22487113402061856,7.4107142857142865,1.0519066825960695,0.5611387105838251,1.519047619047619,-2.35,Atlantic 10
217,Temple,50,1563,411,0.263,8.22,31.26,0.2629558541266795,211.0,4.22,404.0,272,6.06,330,1212,531,77,0.958,10.62,1.54,251.0,5.02,608,0.389,5.858910891089109,4.7004950495049505,1.74009900990099,0.36080786026200873,0.7498078602620087,0.377,0.3208156779661016,-56.22713034466466,-0.5403026421336288,-1.0845905686690107,-1.6248932108026395,0.12603966730646193,80.5935377326491,0.11175847457627118,0.24146649810366624,7.351485148514851,1.356306259907899,0.5690197098527587,1.2464454976303319,-2.43,Atlantic 10
218,Brown,42,1397,432,0.309,10.285714285714286,33.26190476190476,0.30923407301360056,162.0,3.857142857142857,339.0,240,6.37,301,1017,404,75,0.95,9.619047619047619,1.7857142857142858,293.0,6.976190476190476,658,0.471,7.008849557522124,4.300884955752212,1.710914454277286,0.3950617283950617,0.8660617283950617,0.488,0.3651054852320675,110.74101185523305,1.0641421842296004,-1.590733476621082,-0.5265912923914817,0.16177523264137436,143.49752480703881,0.09764918625678119,0.278328611898017,7.991150442477876,0.9687200364670931,0.5165603030229285,1.6296296296296295,-2.43,Ivy League
219,Bucknell,42,1364,391,0.287,9.30952380952381,32.476190476190474,0.2866568914956012,163.0,3.880952380952381,332.2,165,4.46,240,994,456,84,0.945,10.857142857142858,2.0,221.0,5.261904761904762,548,0.402,5.735470941883767,4.409819639278557,1.6616496086694763,0.37586860391661403,0.777868603916614,0.462,0.3357001239157373,4.293976568899042,0.041262053944678696,-1.8272082838042008,-1.7859462298595221,0.11510263929618768,101.73363865932032,0.10099132589838909,0.2683103698332125,6.5021071643588195,1.310644468279183,0.6092426919387094,1.3006134969325154,-2.45,Patriot League
220,NIU,53,1908,518,0.271,9.773584905660377,36.0,0.27148846960167716,191.0,3.6037735849056602,472.1,288,5.49,407,1417,628,128,0.941,11.849056603773585,2.4150943396226414,290.0,5.471698113207547,736,0.386,6.07833450952717,3.6393789696541994,1.7623384876085575,0.34661723818350326,0.7326172381835032,0.35,0.3154160982264666,-91.36869487625742,-0.8779880272624938,-0.023983823950010436,-0.9019718512125042,0.11425576519916142,72.9246153526201,0.08685766257389722,0.2505186721991701,7.758949375132387,0.8523715160833691,0.543711792189047,1.6701570680628273,-2.46,Mid-American
221,Bethune-Cookman,50,1575,423,0.269,8.46,31.5,0.26857142857142857,181.0,3.62,420.0,277,5.94,330,1260,504,96,0.948,10.08,1.92,248.0,4.96,591,0.375,6.214285714285714,3.878571428571429,1.6690476190476191,0.35694673256452497,0.731946732564525,0.372,0.30719543805080357,-114.71311960728718,-1.1023113082826828,-0.6803504681958628,-1.7826617764785455,0.10666666666666667,61.248965053951295,0.09383100051840332,0.25282308657465496,7.071428571428571,0.9617803071495029,0.5677007457980909,1.6022099447513811,-2.5,MEAC
222,Hofstra,56,1926,571,0.296,10.196428571428571,34.392857142857146,0.2964693665628245,207.0,3.6964285714285716,477.1,371,7.0,449,1432,638,108,0.95,11.392857142857142,1.9285714285714286,372.0,6.642857142857143,858,0.445,4.393156424581005,3.902932960893855,1.764829176273318,0.37216681776971894,0.8171668177697189,0.415,0.3374338968357174,14.855570153392321,0.14275143965338363,-0.30921602192637276,-0.16646458227298913,0.1490134994807892,104.19608399563505,0.08972691807542263,0.2689161554192229,8.469922448124082,1.3600114367703335,0.4982157284304445,1.1256038647342994,-2.52,Coastal Athletic
223,Wagner,49,1544,453,0.293,9.244897959183673,31.510204081632654,0.2933937823834197,193.0,3.938775510204082,386.1,244,5.68,313,1159,464,89,0.948,9.46938775510204,1.816326530612245,269.0,5.489795918367347,621,0.402,7.361518550474548,4.49611734253667,1.6886816886816887,0.3857698721511951,0.7877698721511952,0.431,0.3395515937331172,20.462853217684028,0.1966334328523383,-1.0709658219529545,-0.8743323891006163,0.10966904607397794,107.20380939533167,0.10426796326310103,0.2784565916398714,7.296037296037295,0.9819445076993921,0.5599020405385307,1.6373056994818653,-2.52,Northeast
