,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,RA,ER,ERA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,Rank,Conference,Record,Road,Neutral,Home,Non Div I,CBRank,Conf,CBR,Rec,SOR,Rk25,SOS,vs 1-25,vs 26-50,vs 51-100,vs 101-200,vs 201+,RPI,Prev,Trend,OPS,Rating
41,California,4,130,35,0.269,8.75,32.5,0.2692307692307692,20,5.0,36.0,14,14,3.5,108,30,0,1.0,7.5,0.0,6,0.384,1.5,34,8.5,60,0.462,11.0,4.25,1.06,64,Pac-12,36-19,10-8,4-4,22-7,0-0,51,ACC,0.6708671578110613,3-1,73,116,186,0-0,0-0,0-0,3-1,0-0,,49,-2,0.8460000000000001,19.1292
42,South Alabama,4,114,31,0.272,7.75,28.5,0.2719298245614035,17,4.25,34.0,8,7,1.85,102,27,2,0.985,6.75,0.5,7,0.39,1.75,24,6.0,53,0.465,11.1,3.44,1.06,70,Sun Belt,31-25,12-12,1-2,18-11,0-0,73,Sun Belt,0.48002869187410113,4-0,34,71,236,0-0,0-0,0-0,1-0,3-0,,73,0,0.855,19.0947
43,Rutgers,3,104,29,0.279,9.666666666666666,34.666666666666664,0.27884615384615385,11,3.6666666666666665,26.0,8,7,2.42,78,24,1,0.99,8.0,0.3333333333333333,2,0.353,0.6666666666666666,13,4.333333333333333,39,0.375,10.0,4.5,1.35,77,Big Ten,28-25,15-16,0-0,13-9,0-0,102,Big Ten,0.3041544981849146,2-1,68,234,103,0-0,0-0,0-0,2-1,0-0,,81,-21,0.728,19.073900000000002
44,Cincinnati,3,118,32,0.271,10.666666666666666,39.333333333333336,0.2711864406779661,20,6.666666666666667,29.1,14,14,4.3,88,31,1,0.992,10.333333333333334,0.3333333333333333,8,0.403,2.6666666666666665,32,10.666666666666666,51,0.432,9.8,5.52,1.47,62,Big 12,32-25,10-15,4-2,18-8,0-0,56,Big 12,0.6003591763241035,2-1,20,15,7,2-1,0-0,0-0,0-0,0-0,,77,21,0.835,19.0635
45,Illinois,3,107,35,0.327,11.666666666666666,35.666666666666664,0.32710280373831774,18,6.0,28.0,18,18,5.79,84,43,4,0.969,14.333333333333334,1.3333333333333333,3,0.424,1.0,26,8.666666666666666,54,0.505,9.0,6.11,1.64,43,Big Ten,35-21,8-11,7-7,20-3,0-0,74,Big Ten,0.47748507021629233,2-1,76,131,138,0-0,0-0,0-0,2-1,0-0,,69,-5,0.929,19.031100000000002
46,UConn,3,106,31,0.292,10.333333333333334,35.333333333333336,0.29245283018867924,12,4.0,25.0,28,21,7.56,75,24,4,0.961,8.0,1.3333333333333333,4,0.382,1.3333333333333333,19,6.333333333333333,39,0.368,9.4,7.92,1.92,32,Big East,35-26,17-18,2-3,16-5,0-0,66,Big East,0.5349103290854579,0-3,295,299,126,0-0,0-0,0-1,0-2,0-0,,67,1,0.75,18.9082
47,Creighton,3,98,24,0.245,8.0,32.666666666666664,0.24489795918367346,13,4.333333333333333,23.0,9,9,3.52,69,24,3,0.969,8.0,1.0,5,0.362,1.6666666666666667,20,6.666666666666667,32,0.327,12.5,5.48,1.13,66,Big East,35-17,12-10,5-1,18-6,0-0,75,Big East,0.4764609784558562,1-2,147,38,43,0-0,0-0,1-2,0-0,0-0,,94,19,0.6890000000000001,18.5978
48,Kansas,4,140,44,0.314,11.0,35.0,0.3142857142857143,33,8.25,35.0,6,5,1.29,105,40,4,0.973,10.0,1.0,4,0.443,1.0,44,11.0,65,0.464,9.0,3.34,1.03,71,Big 12,31-23,8-9,6-6,17-8,0-0,59,Big 12,0.5767739854048628,4-0,17,48,185,0-0,0-0,0-0,0-0,4-0,,61,2,0.907,18.5375
49,UNC Greensboro,4,109,22,0.202,5.5,27.25,0.2018348623853211,18,4.5,34.0,20,17,4.5,102,34,4,0.971,8.5,1.0,10,0.365,2.5,13,3.25,28,0.257,13.0,4.24,1.24,65,SoCon,33-21,11-10,0-2,22-9,0-0,76,Southern,0.4739817598585221,3-1,44,32,87,1-0,0-0,2-1,0-0,0-0,,99,23,0.622,18.5191
50,Texas Tech,3,102,20,0.196,6.666666666666667,34.0,0.19607843137254902,8,2.6666666666666665,24.0,17,13,4.88,72,15,4,0.956,5.0,1.3333333333333333,0,0.255,0.0,6,2.0,30,0.294,11.2,4.88,1.54,60,Big 12,33-26,6-15,5-4,22-7,0-0,50,Big 12,0.6952353001671755,0-3,234,294,9,0-3,0-0,0-0,0-0,0-0,,39,-11,0.5489999999999999,18.4199
