,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,RA,ER,ERA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,Rank,Conference,Record,Road,Neutral,Home,Non Div I,CBRank,Conf,CBR,Rec,SOR,Rk25,SOS,vs 1-25,vs 26-50,vs 51-100,vs 101-200,vs 201+,RPI,Prev,Trend,OPS,PYTHAG,Rating,Wins,Losses,WIN%,Wins_Over_Pythag
47,South Alabama,4,114,31,0.272,7.75,28.5,0.2719298245614035,17,4.25,34.0,8,7,1.85,102,27,2,0.985,6.75,0.5,7,0.39,1.75,24,6.0,53,0.465,11.1,3.44,1.06,70,Sun Belt,31-25,12-12,1-2,18-11,0-0,96,Sun Belt,1.5407434510172902,4-0,35,104,230,0-0,0-0,0-0,1-0,3-0,,73,-23,0.855,0.882,3.39,4,0,1.0,0.118
48,Creighton,3,98,24,0.245,8.0,32.666666666666664,0.24489795918367346,13,4.333333333333333,23.0,9,9,3.52,69,24,3,0.969,8.0,1.0,5,0.362,1.6666666666666667,20,6.666666666666667,32,0.327,12.5,5.48,1.13,66,Big East,35-17,12-10,5-1,18-6,0-0,80,Big East,1.9239232644424433,1-2,188,13,83,0-0,0-0,1-2,0-0,0-0,,75,-5,0.6890000000000001,0.812,3.37,1,2,0.333,-0.47900000000000004
49,Duke,4,136,34,0.25,8.5,34.0,0.25,30,7.5,39.0,36,28,6.46,117,32,8,0.949,8.0,2.0,5,0.401,1.25,22,5.5,68,0.5,10.8,5.77,1.72,20,ACC,40-20,11-9,7-1,22-10,0-0,13,ACC,4.562972935298552,2-2,161,112,101,0-0,0-0,2-2,0-0,0-0,,17,4,0.901,0.289,3.31,2,2,0.5,0.21100000000000002
50,UNC Greensboro,4,109,22,0.202,5.5,27.25,0.2018348623853211,18,4.5,34.0,20,17,4.5,102,34,4,0.971,8.5,1.0,10,0.365,2.5,13,3.25,28,0.257,13.0,4.24,1.24,65,SoCon,33-21,11-10,0-2,22-9,0-0,75,Southern,2.082925553591116,3-1,21,31,77,1-0,0-0,2-1,0-0,0-0,,76,1,0.622,0.313,3.3,3,1,0.75,0.437
51,ETSU,4,143,47,0.329,11.75,35.75,0.32867132867132864,21,5.25,35.0,13,8,2.06,105,34,3,0.979,8.5,0.75,6,0.433,1.5,35,8.75,87,0.608,8.2,3.86,1.06,54,SoCon,36-20,10-13,2-2,24-5,0-0,102,Southern,1.4125586595750075,3-1,88,54,118,0-1,0-0,0-0,0-0,3-0,,116,14,1.041,0.86,3.28,3,1,0.75,-0.10999999999999999
52,Ole Miss,4,110,26,0.236,6.5,27.5,0.23636363636363636,22,5.5,32.2,18,16,4.41,98,25,3,0.976,6.25,0.75,6,0.386,1.5,21,5.25,49,0.445,10.5,5.23,1.5,36,SEC,27-29,7-15,1-2,19-12,0-0,34,SEC,3.7568662307025646,3-1,7,23,41,1-1,1-0,0-0,1-0,0-0,,28,-6,0.831,0.57,3.27,3,1,0.75,0.18000000000000005
53,Cincinnati,3,118,32,0.271,10.666666666666666,39.333333333333336,0.2711864406779661,20,6.666666666666667,29.1,14,14,4.3,88,31,1,0.992,10.333333333333334,0.3333333333333333,8,0.403,2.6666666666666665,32,10.666666666666666,51,0.432,9.8,5.52,1.47,62,Big 12,32-25,10-15,4-2,18-8,0-0,62,Big 12,2.294996416372533,2-1,1,19,20,2-1,0-0,0-0,0-0,0-0,,56,-6,0.835,0.819,3.26,2,1,0.667,-0.1519999999999999
54,Texas Tech,3,102,20,0.196,6.666666666666667,34.0,0.19607843137254902,8,2.6666666666666665,24.0,17,13,4.88,72,15,4,0.956,5.0,1.3333333333333333,0,0.255,0.0,6,2.0,30,0.294,11.2,4.88,1.54,60,Big 12,33-26,6-15,5-4,22-7,0-0,42,Big 12,3.089769848624224,0-3,149,288,28,0-3,0-0,0-0,0-0,0-0,,50,8,0.5489999999999999,0.129,3.21,0,3,0.0,-0.129
55,Kansas St.,5,172,47,0.273,9.4,34.4,0.27325581395348836,23,4.6,42.0,45,35,7.5,126,40,11,0.938,8.0,2.2,8,0.384,1.6,28,5.6,69,0.401,11.1,5.79,1.71,37,Big 12,35-26,10-16,5-3,20-7,0-0,108,Big 12,1.274586760667594,1-4,189,282,66,0-1,0-2,0-0,0-1,1-0,,100,-8,0.785,0.296,3.16,1,4,0.2,-0.09599999999999997
56,Notre Dame,3,101,27,0.267,9.0,33.666666666666664,0.26732673267326734,21,7.0,24.0,17,16,6.0,72,25,1,0.99,8.333333333333334,0.3333333333333333,2,0.397,0.6666666666666666,25,8.333333333333334,38,0.376,12.4,4.5,1.42,79,ACC,27-25,11-17,0-0,16-8,0-0,26,ACC,4.008294403142924,2-1,174,25,223,0-0,0-0,0-0,2-1,0-0,,31,5,0.773,0.669,3.12,2,1,0.667,-0.0020000000000000018
