,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,RA,ER,ERA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,Rank,Conference,Record,Road,Neutral,Home,Non Div I,CBRank,Conf,CBR,Rec,SOR,Rk25,SOS,vs 1-25,vs 26-50,vs 51-100,vs 101-200,vs 201+,RPI,Prev,Trend,OPS,PYTHAG,Rating,Wins,Losses,WIN%,Wins_Over_Pythag
193,Holy Cross,3,89,16,0.18,5.333333333333333,29.666666666666668,0.1797752808988764,14,4.666666666666667,25.0,20,18,6.48,75,27,5,0.953,9.0,1.6666666666666667,6,0.319,2.0,11,3.6666666666666665,26,0.292,5.4,4.32,1.68,158,Patriot,26-27,14-24,1-0,11-3,0-0,259,Patriot,-2.87284724869614,1-2,34,128,37,0-0,1-2,0-0,0-0,0-0,,264,5,0.611,0.251,-1.77,1,2,0.333,0.08200000000000002
194,Villanova,3,98,20,0.204,6.666666666666667,32.666666666666664,0.20408163265306123,22,7.333333333333333,26.0,28,27,9.35,78,24,1,0.99,8.0,0.3333333333333333,6,0.381,2.0,11,3.6666666666666665,24,0.245,9.3,4.5,2.08,211,Big East,18-33,13-23,0-1,5-9,0-0,224,Big East,-1.6577302106778653,1-2,156,197,64,0-1,0-0,0-1,1-0,0-0,,221,-3,0.626,0.153,-1.86,1,2,0.333,0.18000000000000002
195,Memphis,3,87,16,0.184,5.333333333333333,29.0,0.1839080459770115,9,3.0,27.0,8,6,2.0,81,30,5,0.957,10.0,1.6666666666666667,0,0.26,0.0,9,3.0,33,0.379,7.0,4.0,1.3,201,AAC,23-32,10-15,0-0,13-17,0-0,180,American,-0.5541407369190428,2-1,167,147,200,0-0,0-0,0-0,2-1,0-0,,179,-1,0.639,0.554,-1.87,2,1,0.667,0.11299999999999999
196,St. Bonaventure,4,149,48,0.322,12.0,37.25,0.3221476510067114,23,5.75,33.0,39,37,10.09,99,36,4,0.971,9.0,1.0,6,0.43,1.5,45,11.25,76,0.51,10.4,5.18,1.79,223,Atlantic 10,18-31,10-24,0-0,8-7,0-0,274,Atlantic 10,-3.4992631091466606,3-1,144,33,208,0-0,0-0,0-0,3-1,0-0,,279,5,0.94,0.565,-1.88,3,1,0.75,0.18500000000000005
197,Toledo,4,121,18,0.149,4.5,30.25,0.1487603305785124,13,3.25,33.0,27,22,6.0,99,37,4,0.971,9.25,1.0,4,0.254,1.0,8,2.0,24,0.198,6.8,3.55,1.52,195,MAC,27-32,14-22,2-2,11-8,0-0,188,MAC,-0.6587048093102523,1-3,82,194,33,0-0,1-3,0-0,0-0,0-0,,196,8,0.452,0.097,-1.88,1,3,0.25,0.153
198,Nevada,4,128,21,0.164,5.25,32.0,0.1640625,17,4.25,33.0,34,27,7.36,99,29,5,0.962,7.25,1.25,5,0.287,1.25,14,3.5,33,0.258,8.2,5.45,1.67,187,Mountain West,25-26,13-18,0-0,12-8,0-0,128,Mountain West,0.7496870241821039,1-3,138,199,50,0-0,1-3,0-0,0-0,0-0,,131,3,0.5449999999999999,0.165,-1.94,1,3,0.25,0.08499999999999999
199,Elon,3,93,26,0.28,8.666666666666666,31.0,0.27956989247311825,12,4.0,21.0,32,28,12.0,63,8,3,0.959,2.6666666666666665,1.0,5,0.387,1.6666666666666667,14,4.666666666666667,31,0.333,9.4,9.0,2.38,178,CAA,21-32,4-14,0-0,17-18,0-0,134,CAA,0.6227508935049239,1-3,86,20,34,0-3,0-0,0-0,0-0,1-0,,133,-1,0.72,0.181,-1.95,1,3,0.25,0.069
200,UMass Lowell,3,97,24,0.247,8.0,32.333333333333336,0.24742268041237114,22,7.333333333333333,26.0,20,16,5.54,78,21,5,0.952,7.0,1.6666666666666667,5,0.411,1.6666666666666667,19,6.333333333333333,40,0.412,9.0,3.46,1.38,206,America East,24-31,15-20,1-2,8-9,0-0,240,America East,-2.1671671956072034,2-1,171,166,210,0-0,0-0,0-0,1-0,1-1,,231,-9,0.823,0.477,-1.97,2,1,0.667,0.19000000000000006
201,Charleston So.,4,133,42,0.316,10.5,33.25,0.3157894736842105,23,5.75,35.0,32,30,7.71,105,32,8,0.945,8.0,2.0,7,0.439,1.75,40,10.0,67,0.504,8.0,5.91,1.57,189,Big South,22-32,10-14,0-0,12-18,0-0,205,Big South,-1.187095843846039,3-1,145,115,212,0-0,0-0,0-0,3-1,0-0,,201,-4,0.9430000000000001,0.601,-2.15,3,1,0.75,0.14900000000000002
202,Sacramento St.,4,140,44,0.314,11.0,35.0,0.3142857142857143,29,7.25,35.0,37,33,8.49,105,31,2,0.986,7.75,0.5,5,0.448,1.25,35,8.75,69,0.493,8.2,5.91,1.94,217,WAC,26-31,12-12,1-1,13-18,0-0,132,WAC,0.6720780186522769,2-2,204,150,205,0-0,0-0,0-0,2-2,0-0,,143,11,0.9410000000000001,0.475,-2.23,2,2,0.5,0.025000000000000022
203,UNLV,4,126,32,0.254,8.0,31.5,0.25396825396825395,15,3.75,33.0,40,36,9.82,99,31,6,0.956,7.75,1.5,3,0.347,0.75,18,4.5,43,0.341,12.5,8.45,2.33,231,Mountain West,26-26,10-14,0-1,16-11,0-0,119,Mountain West,0.9570564709269004,2-2,102,259,67,0-1,0-0,2-0,0-1,0-0,,130,11,0.688,0.188,-2.26,2,2,0.5,0.312
204,Jacksonville,4,122,20,0.164,5.0,30.5,0.16393442622950818,15,3.75,34.0,27,24,6.35,102,32,7,0.95,8.0,1.75,4,0.275,1.0,11,2.75,34,0.279,7.7,3.71,1.59,203,ASUN,27-31,8-16,2-2,17-13,0-0,178,Atlantic Sun,-0.5190973498940206,0-4,202,234,51,0-1,0-3,0-0,0-0,0-0,,206,28,0.554,0.162,-2.27,0,4,0.0,-0.162
205,Tennessee Tech,5,152,38,0.25,7.6,30.4,0.25,29,5.8,43.0,16,11,2.3,129,48,5,0.973,9.6,1.0,6,0.384,1.2,30,6.0,62,0.408,9.2,3.77,1.28,245,OVC,29-26,7-12,0-1,22-13,0-0,194,Ohio Valley,-0.854078024409578,5-0,48,130,270,0-0,0-0,0-0,1-0,4-0,,181,-13,0.792,0.76,-2.27,5,0,1.0,0.24
206,Sacred Heart,3,85,9,0.106,3.0,28.333333333333332,0.10588235294117647,4,1.3333333333333333,22.0,27,20,8.18,66,23,8,0.918,7.666666666666667,2.6666666666666665,4,0.183,1.3333333333333333,3,1.0,11,0.129,6.5,8.59,1.95,145,NEC,35-23,15-17,2-2,18-4,0-0,266,MAAC,-3.297685533096126,0-3,119,217,21,0-3,0-0,0-0,0-0,0-0,,252,-14,0.312,0.018,-2.28,0,3,0.0,-0.018
207,Jackson St.,3,95,25,0.263,8.333333333333334,31.666666666666668,0.2631578947368421,18,6.0,28.0,14,11,3.54,84,38,4,0.968,12.666666666666666,1.3333333333333333,4,0.392,1.3333333333333333,20,6.666666666666667,36,0.379,10.3,6.75,1.39,237,SWAC,32-20,9-9,6-4,17-7,4-0,280,SWAC,-3.8583764644885568,2-1,186,224,298,0-0,0-0,0-0,0-0,2-1,,258,-22,0.771,0.658,-2.35,2,1,0.667,0.009000000000000008
208,Oakland,4,135,31,0.23,7.75,33.75,0.22962962962962963,19,4.75,33.0,31,28,7.64,99,39,5,0.965,9.75,1.25,8,0.358,2.0,16,4.0,45,0.333,7.1,6.0,1.79,200,Horizon,29-27,17-20,0-2,12-5,2-0,226,Horizon,-1.730240643064293,1-3,259,100,168,0-0,0-0,0-0,1-3,0-0,,186,-40,0.6910000000000001,0.23,-2.41,1,3,0.25,0.01999999999999999
209,Washington St.,4,114,23,0.202,5.75,28.5,0.20175438596491227,5,1.25,29.2,34,32,9.71,89,32,5,0.96,8.0,1.25,2,0.246,0.5,8,2.0,34,0.298,8.5,8.49,2.22,194,Pac-12,21-32,8-17,2-1,11-14,0-0,106,Mountain West,1.3426187280875563,0-4,106,222,18,0-4,0-0,0-0,0-0,0-0,,109,3,0.544,0.066,-2.41,0,4,0.0,-0.066
210,LIU,4,115,23,0.2,5.75,28.75,0.2,20,5.0,30.0,37,35,10.5,90,28,3,0.975,7.0,0.75,2,0.324,0.5,19,4.75,38,0.33,8.7,8.1,2.4,191,NEC,33-25,9-19,4-2,20-4,0-0,283,Northeast,-4.070432095104133,2-2,91,290,59,0-2,0-0,0-0,0-0,2-0,,270,-13,0.654,0.228,-2.43,2,2,0.5,0.272
211,Bethune-Cookman,3,91,21,0.231,7.0,30.333333333333332,0.23076923076923078,12,4.0,25.0,21,15,5.4,75,21,6,0.941,7.0,2.0,7,0.364,2.3333333333333335,14,4.666666666666667,41,0.451,10.1,5.4,1.56,222,SWAC,32-27,9-14,3-2,20-11,0-0,252,SWAC,-2.6836242131835837,0-4,299,253,228,0-0,0-0,0-0,0-4,0-0,,247,-5,0.815,0.323,-2.47,0,4,0.0,-0.323
212,UC Riverside,4,143,38,0.266,9.5,35.75,0.26573426573426573,11,2.75,38.0,29,24,5.68,114,29,8,0.947,7.25,2.0,3,0.327,0.75,23,5.75,51,0.357,11.6,5.92,1.53,263,Big West,16-36,4-17,0-0,12-19,0-0,231,Big West,-1.8710652658968219,2-2,212,168,237,0-0,0-0,0-0,2-2,0-0,,242,11,0.6839999999999999,0.396,-2.49,2,2,0.5,0.10399999999999998
213,Houston Christian,4,120,33,0.275,8.25,30.0,0.275,21,5.25,32.0,15,12,3.38,96,29,3,0.977,7.25,0.75,1,0.387,0.25,29,7.25,40,0.333,6.8,3.38,1.19,236,Southland,18-31,6-19,2-3,10-9,0-0,245,Southland,-2.354872418852547,3-1,152,116,242,0-0,0-0,0-0,3-1,0-0,,241,-4,0.72,0.77,-2.5,3,1,0.75,-0.020000000000000018
214,Binghamton,3,97,20,0.206,6.666666666666667,32.333333333333336,0.20618556701030927,13,4.333333333333333,24.0,19,12,4.5,72,20,3,0.968,6.666666666666667,1.0,5,0.328,1.6666666666666667,12,4.0,32,0.33,8.6,4.12,1.62,246,America East,21-29,8-20,1-0,12-9,0-0,197,America East,-1.0113264685293593,0-3,196,11,47,0-0,0-3,0-0,0-0,0-0,,211,14,0.658,0.301,-2.62,0,3,0.0,-0.301
215,Towson,3,101,26,0.257,8.666666666666666,33.666666666666664,0.25742574257425743,13,4.333333333333333,25.0,16,16,5.76,75,27,3,0.971,9.0,1.0,1,0.345,0.3333333333333333,19,6.333333333333333,49,0.485,9.0,4.32,1.4,243,CAA,15-39,3-22,1-1,11-16,0-0,236,CAA,-2.068022167412637,1-2,246,70,194,0-0,0-0,0-0,0-2,1-0,,248,12,0.83,0.578,-2.63,1,2,0.333,-0.24499999999999994
216,Eastern Ill.,3,102,26,0.255,8.666666666666666,34.0,0.2549019607843137,14,4.666666666666667,25.0,21,21,7.56,75,17,3,0.968,5.666666666666667,1.0,6,0.374,2.0,14,4.666666666666667,33,0.324,9.7,4.68,1.92,255,OVC,20-32,12-20,0-1,8-11,0-1,169,Ohio Valley,-0.3220916378393325,1-2,232,10,149,0-0,0-0,0-0,1-2,0-0,,177,8,0.698,0.323,-2.65,1,2,0.333,0.010000000000000009
217,Davidson,3,82,17,0.207,5.666666666666667,27.333333333333332,0.2073170731707317,17,5.666666666666667,22.0,20,20,8.18,66,23,3,0.967,7.666666666666667,1.0,3,0.363,1.0,8,2.6666666666666665,26,0.317,9.8,3.68,1.55,229,Atlantic 10,24-28,5-16,1-0,18-12,0-0,223,Atlantic 10,-1.655063106749632,1-2,258,269,248,0-0,0-0,0-0,1-2,0-0,,212,-11,0.6799999999999999,0.158,-2.7,1,2,0.333,0.17500000000000002
218,San Diego St.,4,147,46,0.313,11.5,36.75,0.3129251700680272,20,5.0,35.0,37,31,7.97,105,33,11,0.926,8.25,2.75,5,0.408,1.25,31,7.75,66,0.449,10.3,7.46,1.97,235,Mountain West,17-37,4-23,0-0,13-14,0-0,179,Mountain West,-0.532379709526327,2-2,180,293,135,0-0,0-0,0-2,2-0,0-0,,195,16,0.857,0.42,-2.75,2,2,0.5,0.08000000000000002
219,SIUE,3,100,30,0.3,10.0,33.333333333333336,0.3,9,3.0,25.0,12,12,4.32,75,33,3,0.973,11.0,1.0,6,0.391,2.0,25,8.333333333333334,49,0.49,8.6,6.84,1.64,252,OVC,20-34,8-22,1-1,11-11,1-0,219,Ohio Valley,-1.593054516998318,2-1,150,71,165,0-0,0-0,0-1,1-0,1-0,,215,-4,0.881,0.793,-2.8,2,1,0.667,-0.126
220,Pepperdine,4,133,29,0.218,7.25,33.25,0.21804511278195488,8,2.0,37.0,30,23,5.59,111,40,6,0.962,10.0,1.5,2,0.271,0.5,8,2.0,40,0.301,9.0,3.65,1.73,272,WCC,15-38,7-16,0-1,8-21,0-0,185,West Coast,-0.6412319493923262,0-4,282,225,113,0-0,0-0,0-4,0-0,0-0,,213,28,0.5720000000000001,0.082,-2.92,0,4,0.0,-0.082
221,Cal St. Fullerton,4,133,29,0.218,7.25,33.25,0.21804511278195488,13,3.25,35.0,42,34,8.74,105,36,5,0.966,9.0,1.25,5,0.309,1.25,22,5.5,44,0.331,7.5,4.63,2.09,238,Big West,16-38,4-18,1-2,11-18,0-0,129,Big West,0.7268778642495624,0-4,240,221,68,0-0,0-4,0-0,0-0,0-0,,182,53,0.64,0.234,-2.99,0,4,0.0,-0.234
222,Merrimack,3,101,22,0.218,7.333333333333333,33.666666666666664,0.21782178217821782,2,0.6666666666666666,24.0,32,30,11.25,72,25,4,0.96,8.333333333333334,1.3333333333333333,3,0.255,1.0,7,2.3333333333333335,34,0.337,5.6,5.62,2.25,208,NEC,33-26,15-14,3-5,15-7,0-0,278,MAAC,-3.7190080728213055,0-3,304,271,261,0-0,0-0,0-0,0-0,0-3,,280,2,0.5920000000000001,0.058,-2.99,0,3,0.0,-0.058
223,George Mason,4,123,24,0.195,6.0,30.75,0.1951219512195122,32,8.0,34.0,26,24,6.35,102,39,2,0.986,9.75,0.5,8,0.39,2.0,27,6.75,36,0.293,7.9,3.97,1.38,233,Atlantic 10,21-32,3-17,1-5,17-10,0-0,241,Atlantic 10,-2.17367670427155,1-3,179,255,62,0-0,1-2,0-0,0-1,0-0,,257,16,0.683,0.517,-3.05,1,3,0.25,-0.267
224,The Citadel,4,128,34,0.266,8.5,32.0,0.265625,22,5.5,35.0,29,23,5.91,105,33,4,0.972,8.25,1.0,5,0.391,1.25,25,6.25,48,0.375,6.4,5.14,1.63,232,SoCon,21-32,5-13,0-1,16-18,0-0,216,Southern,-1.4418791131960391,2-2,207,180,212,0-0,0-0,0-0,2-2,0-0,,226,10,0.766,0.433,-3.09,2,2,0.5,0.067
225,Longwood,3,87,12,0.138,4.0,29.0,0.13793103448275862,20,6.666666666666667,27.0,29,16,5.33,81,29,10,0.917,9.666666666666666,3.3333333333333335,3,0.315,1.0,15,5.0,21,0.241,7.7,4.0,1.85,214,Big South,23-29,10-20,0-0,13-9,0-0,211,Big South,-1.3561437114535342,1-2,227,26,138,0-0,0-0,0-2,1-0,0-0,,198,-13,0.556,0.23,-3.14,1,2,0.333,0.10300000000000001
226,North Florida,4,127,37,0.291,9.25,31.75,0.29133858267716534,19,4.75,32.0,28,24,6.75,96,29,8,0.94,7.25,2.0,8,0.416,2.0,30,7.5,63,0.496,10.4,6.47,1.62,250,ASUN,21-30,8-13,0-0,13-17,0-0,174,Atlantic Sun,-0.44214738384515984,2-2,43,65,54,0-0,1-2,0-0,0-0,1-0,,173,-1,0.9119999999999999,0.532,-3.32,2,2,0.5,-0.03200000000000003
227,Akron,3,115,34,0.296,11.333333333333334,38.333333333333336,0.2956521739130435,25,8.333333333333334,28.2,25,21,6.59,86,26,6,0.949,8.666666666666666,2.0,9,0.45,3.0,38,12.666666666666666,51,0.443,10.4,5.97,1.67,268,MAC,15-39,9-22,3-3,3-14,0-0,251,MAC,-2.6424642127723788,2-1,184,146,281,0-0,0-0,0-0,0-0,2-1,,262,11,0.893,0.683,-3.34,2,1,0.667,-0.016000000000000014
228,UT Martin,3,91,26,0.286,8.666666666666666,30.333333333333332,0.2857142857142857,10,3.3333333333333335,24.0,11,9,3.38,72,27,3,0.971,9.0,1.0,5,0.383,1.6666666666666667,18,6.0,40,0.44,9.0,4.88,1.21,280,OVC,21-35,7-20,1-1,13-14,0-0,237,Ohio Valley,-2.0924203637010055,2-1,185,237,286,0-0,0-0,0-0,0-0,2-1,,253,16,0.823,0.711,-3.44,2,1,0.667,-0.04399999999999993
229,Hofstra,3,69,7,0.101,2.3333333333333335,23.0,0.10144927536231885,7,2.3333333333333335,18.0,46,33,16.5,54,14,6,0.919,4.666666666666667,2.0,2,0.203,0.6666666666666666,2,0.6666666666666666,11,0.159,9.0,13.5,3.33,151,CAA,24-33,10-23,1-2,13-8,0-0,203,CAA,-1.1578198079158666,0-3,81,89,16,0-3,0-0,0-0,0-0,0-0,,194,-9,0.362,0.003,-3.44,0,3,0.0,-0.003
230,Florida A&M,4,107,18,0.168,4.5,26.75,0.16822429906542055,15,3.75,32.0,31,27,7.59,96,47,9,0.941,11.75,2.25,2,0.282,0.5,14,3.5,31,0.29,5.9,4.78,1.81,209,SWAC,29-27,11-10,5-4,13-13,0-0,260,SWAC,-3.0630666415720427,1-3,276,279,268,0-0,0-0,0-0,0-1,1-2,,263,3,0.572,0.189,-3.46,1,3,0.25,0.061
231,UNC Asheville,4,120,35,0.292,8.75,30.0,0.2916666666666667,17,4.25,33.0,43,34,9.27,99,33,6,0.957,8.25,1.5,3,0.382,0.75,30,7.5,47,0.392,8.5,11.45,2.7,225,Big South,22-28,3-17,0-0,19-11,0-0,239,Big South,-2.1543166110594223,3-1,80,287,98,0-1,0-0,0-0,0-0,3-0,,208,-31,0.774,0.341,-3.48,3,1,0.75,0.409
232,San Francisco,4,147,45,0.306,11.25,36.75,0.30612244897959184,23,5.75,35.0,35,32,8.23,105,37,4,0.973,9.25,1.0,9,0.428,2.25,37,9.25,74,0.503,9.5,7.46,2.09,269,WCC,21-34,7-16,0-0,14-18,0-0,157,West Coast,0.009000538689776922,2-2,194,138,172,0-0,0-0,0-0,2-2,0-0,,178,21,0.931,0.525,-3.5,2,2,0.5,-0.025000000000000022
233,Texas Southern,4,125,30,0.24,7.5,31.25,0.24,20,5.0,34.0,31,29,7.68,102,45,4,0.974,11.25,1.0,8,0.377,2.0,20,5.0,43,0.344,6.1,6.88,2.12,230,SWAC,21-25,10-20,3-3,8-2,2-0,298,SWAC,-6.025145488745827,1-3,266,285,178,0-0,0-0,0-1,0-0,1-2,,297,-1,0.721,0.31,-3.5,1,3,0.25,-0.06
234,Lipscomb,3,100,18,0.18,6.0,33.333333333333336,0.18,16,5.333333333333333,29.0,22,18,5.59,87,28,7,0.943,9.333333333333334,2.3333333333333335,1,0.294,0.3333333333333333,14,4.666666666666667,26,0.26,6.2,5.9,1.76,227,ASUN,22-34,9-19,1-1,12-14,0-0,176,Atlantic Sun,-0.47212452144019534,2-1,13,200,48,1-1,0-0,0-0,1-0,0-0,,174,-2,0.554,0.304,-3.56,2,1,0.667,0.36300000000000004
235,Wagner,3,104,28,0.269,9.333333333333334,34.666666666666664,0.2692307692307692,10,3.3333333333333335,26.0,54,49,16.96,78,27,7,0.938,9.0,2.3333333333333335,5,0.355,1.6666666666666667,15,5.0,41,0.394,8.7,6.92,2.62,215,NEC,26-30,11-20,1-2,14-8,0-0,288,Northeast,-4.342009018695357,1-2,103,283,43,0-0,1-2,0-0,0-0,0-0,,277,-11,0.749,0.088,-3.57,1,2,0.333,0.24500000000000002
236,Iona,2,77,25,0.325,12.5,38.5,0.3246753246753247,20,10.0,17.0,13,13,6.88,51,15,3,0.957,7.5,1.5,8,0.5,4.0,28,14.0,32,0.416,12.7,7.94,1.71,292,MAAC,12-38,5-31,0-0,7-7,0-0,295,MAAC,-5.491099763897038,1-1,226,61,304,0-0,0-0,0-0,0-0,1-1,,298,3,0.9159999999999999,0.803,-3.58,1,1,0.5,-0.30300000000000005
237,North Dakota St.,4,125,18,0.144,4.5,31.25,0.144,15,3.75,32.0,37,35,9.84,96,32,3,0.977,8.0,0.75,5,0.262,1.25,12,3.0,30,0.24,7.9,6.47,2.28,241,Summit League,19-30,12-20,1-2,6-8,1-0,195,Summit,-0.9801903336114044,0-5,198,210,49,0-0,0-3,0-2,0-0,0-0,,205,10,0.502,0.113,-3.61,0,5,0.0,-0.113
238,North Ala.,3,97,21,0.216,7.0,32.333333333333336,0.21649484536082475,12,4.0,27.0,8,7,2.33,81,28,3,0.973,9.333333333333334,1.0,2,0.312,0.6666666666666666,9,3.0,31,0.32,8.0,5.33,1.07,276,ASUN,18-35,7-17,1-1,10-17,0-0,258,Atlantic Sun,-2.8130439545467043,2-2,177,154,132,0-0,0-1,0-0,2-1,0-0,,269,11,0.632,0.554,-3.67,2,2,0.5,-0.05400000000000005
239,Prairie View,4,124,35,0.282,8.75,31.0,0.28225806451612906,27,6.75,31.2,22,18,5.12,95,30,5,0.962,7.5,1.25,4,0.423,1.0,28,7.0,52,0.419,8.5,6.54,1.61,258,SWAC,26-25,8-18,6-2,12-5,3-1,299,SWAC,-6.497338483622022,2-2,263,289,301,0-0,0-0,0-0,0-0,1-2,,292,-7,0.842,0.609,-3.67,2,2,0.5,-0.10899999999999999
240,Butler,4,145,39,0.269,9.75,36.25,0.2689655172413793,18,4.5,33.0,58,45,12.27,99,44,9,0.941,11.0,2.25,3,0.357,0.75,27,6.75,79,0.545,6.0,10.09,2.79,196,Big East,20-35,13-14,2-3,5-18,0-0,262,Big East,-3.122676033292807,1-3,267,232,185,0-0,0-0,0-0,1-3,0-0,,243,-19,0.902,0.198,-3.75,1,3,0.25,0.05199999999999999
241,Seattle U,3,108,26,0.241,8.666666666666666,36.0,0.24074074074074073,18,6.0,24.0,39,31,11.62,72,21,5,0.949,7.0,1.6666666666666667,2,0.357,0.6666666666666666,20,6.666666666666667,40,0.37,9.4,3.75,2.33,271,WAC,16-36,9-22,0-0,7-14,1-0,234,WAC,-2.001684833565974,0-3,295,298,186,0-0,0-0,0-0,0-3,0-0,,246,12,0.727,0.228,-3.78,0,3,0.0,-0.228
242,NJIT,4,124,28,0.226,7.0,31.0,0.22580645161290322,11,2.75,28.2,46,35,10.99,86,19,5,0.955,4.75,1.25,3,0.304,0.75,16,4.0,38,0.306,7.2,9.42,2.62,228,America East,26-28,12-21,1-2,13-5,0-0,249,America East,-2.5293591811111362,0-4,297,203,198,0-0,0-0,0-0,0-4,0-0,,244,-5,0.61,0.126,-3.88,0,4,0.0,-0.126
243,Radford,4,144,34,0.236,8.5,36.0,0.2361111111111111,26,6.5,37.0,45,42,10.22,111,40,5,0.968,10.0,1.25,9,0.383,2.25,28,7.0,60,0.417,9.7,7.3,1.97,256,Big South,16-34,4-21,0-0,12-13,0-0,248,Big South,-2.4985534573136468,1-3,268,263,206,0-0,0-0,0-0,0-1,1-2,,260,12,0.8,0.296,-3.92,1,3,0.25,-0.045999999999999985
244,Lafayette,4,131,27,0.206,6.75,32.75,0.20610687022900764,12,3.0,34.0,39,36,9.53,102,37,4,0.972,9.25,1.0,5,0.295,1.25,13,3.25,42,0.321,5.0,4.76,2.06,244,Patriot,14-35,5-25,0-0,9-10,0-0,284,Patriot,-4.078114579352631,0-4,143,72,27,0-4,0-0,0-0,0-0,0-0,,261,-23,0.616,0.118,-4.01,0,4,0.0,-0.118
245,Bradley,3,102,22,0.216,7.333333333333333,34.0,0.21568627450980393,11,3.6666666666666665,23.0,40,38,14.87,69,22,1,0.989,7.333333333333333,0.3333333333333333,5,0.322,1.6666666666666667,13,4.333333333333333,30,0.294,10.2,9.39,2.74,259,MVC,12-37,7-24,4-1,1-12,1-0,204,Missouri Valley,-1.1832037698417768,0-3,108,121,19,0-3,0-0,0-0,0-0,0-0,,230,26,0.616,0.113,-4.01,0,3,0.0,-0.113
246,Mississippi Val.,1,38,16,0.421,16.0,38.0,0.42105263157894735,11,11.0,9.1,10,10,9.64,30,12,1,0.977,12.0,1.0,0,0.54,0.0,12,12.0,25,0.658,6.8,0.96,1.71,302,SWAC,7-32,5-20,0-0,2-12,5-2,306,SWAC,-10.367835383199056,1-0,64,286,307,0-0,0-0,0-0,0-0,1-0,,306,0,1.198,0.583,-4.13,1,0,1.0,0.41700000000000004
247,FDU,3,107,29,0.271,9.666666666666666,35.666666666666664,0.27102803738317754,20,6.666666666666667,24.0,26,22,8.25,72,26,6,0.942,8.666666666666666,2.0,3,0.4,1.0,14,4.666666666666667,35,0.327,5.2,6.0,1.92,239,NEC,26-30,11-23,1-2,14-5,0-0,292,Northeast,-4.717679404930273,0-3,305,303,276,0-0,0-0,0-0,0-0,0-3,,294,2,0.7270000000000001,0.244,-4.16,0,3,0.0,-0.244
248,Milwaukee,3,101,22,0.218,7.333333333333333,33.666666666666664,0.21782178217821782,8,2.6666666666666665,25.0,25,24,8.64,75,27,2,0.981,9.0,0.6666666666666666,2,0.288,0.6666666666666666,13,4.333333333333333,38,0.376,7.2,4.32,1.56,275,Horizon,17-36,6-27,1-2,10-7,2-0,242,Horizon,-2.207014751943627,1-2,206,162,126,0-0,0-0,0-0,1-2,0-0,,254,12,0.6639999999999999,0.232,-4.17,1,2,0.333,0.101
249,A&M-Corpus Christi,4,123,23,0.187,5.75,30.75,0.18699186991869918,13,3.25,35.0,44,42,10.8,105,23,4,0.97,5.75,1.0,4,0.286,1.0,6,1.5,31,0.252,5.4,8.49,2.2,221,Southland,21-35,10-13,2-3,9-19,1-0,221,Southland,-1.5982597468838484,0-4,269,261,91,0-0,0-0,0-4,0-0,0-0,,218,-3,0.538,0.025,-4.22,0,4,0.0,-0.025
250,Pacific,4,125,27,0.216,6.75,31.25,0.216,8,2.0,35.0,26,19,4.89,105,36,7,0.953,9.0,1.75,0,0.259,0.0,19,4.75,41,0.328,8.5,5.66,1.6,293,WCC,11-44,2-25,0-1,9-18,0-0,276,West Coast,-3.57604930519199,2-2,208,307,215,0-0,0-0,0-0,2-1,0-1,,288,12,0.587,0.36,-4.26,2,2,0.5,0.14
251,Ohio,3,109,36,0.33,12.0,36.333333333333336,0.3302752293577982,7,2.3333333333333335,23.2,33,29,11.03,71,26,7,0.933,8.666666666666666,2.3333333333333335,2,0.375,0.6666666666666666,21,7.0,48,0.44,6.8,9.51,2.49,251,MAC,18-32,8-20,0-0,10-12,0-0,232,MAC,-1.9625761730875233,0-3,234,233,57,0-0,0-0,0-3,0-0,0-0,,237,5,0.815,0.304,-4.31,0,3,0.0,-0.304
252,Manhattan,4,118,26,0.22,6.5,29.5,0.22033898305084745,14,3.5,29.1,37,34,10.43,88,24,5,0.957,6.0,1.25,1,0.308,0.25,13,3.25,34,0.288,9.5,7.36,2.18,270,MAAC,22-30,16-22,0-0,6-8,0-0,272,MAAC,-3.3659621470233305,1-3,113,209,40,0-3,0-0,0-0,0-0,1-0,,268,-4,0.596,0.129,-4.31,1,3,0.25,0.121
253,Eastern Ky.,4,114,22,0.193,5.5,28.5,0.19298245614035087,21,5.25,30.0,32,27,8.1,90,30,4,0.968,7.5,1.0,5,0.34,1.25,8,2.0,28,0.246,7.8,6.3,1.77,260,ASUN,21-37,8-18,0-2,13-17,0-0,230,Atlantic Sun,-1.8606303317850514,0-4,289,242,152,0-0,0-0,0-2,0-1,0-1,,222,-8,0.5860000000000001,0.073,-4.34,0,4,0.0,-0.073
254,Valparaiso,3,83,18,0.217,6.0,27.666666666666668,0.21686746987951808,9,3.0,20.0,33,28,12.6,60,26,4,0.956,8.666666666666666,1.3333333333333333,8,0.35,2.6666666666666665,11,3.6666666666666665,28,0.337,8.1,7.65,2.45,242,MVC,14-38,8-27,0-1,6-10,0-0,228,Missouri Valley,-1.8126873097576777,0-3,283,278,120,0-0,0-0,0-3,0-0,0-0,,238,10,0.687,0.118,-4.37,0,3,0.0,-0.118
