,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,ER,ERA,RA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RPG,RS,TB,SLG,KP9,WP9,WHIP,OPS,PYTHAG,wOBA,wRAA,oWAR_z,pWAR_z,fWAR,ISO,wRC+,BB%,BABIP,RA9,FIP,LOB%,K/BB,Rating,Conference
233,Miami (OH),56,1900,501,0.264,8.946428571428571,33.92857142857143,0.2636842105263158,188,3.357142857142857,490.1,265,4.86,323,1471,578,78,0.963,10.321428571428571,1.3928571428571428,50,0.342,0.8928571428571429,5.142857142857143,288,828,0.436,7.2,4.92,1.53,0.778,0.448,0.32698778833107195,21.800786876700762,0.16174731504921194,-0.2434756227001985,-0.08172830765098657,0.17210526315789473,107.09301623241241,0.08502939846223428,0.228125,5.931442562742298,0.9275268453810263,0.6075972047533267,1.47,-1.8,Mid-American
234,Quinnipiac,52,1710,441,0.258,8.48076923076923,32.88461538461539,0.2578947368421053,186,3.576923076923077,436.0,286,5.9,318,1308,513,57,0.97,9.865384615384615,1.0961538461538463,39,0.34,0.75,4.634615384615385,241,623,0.364,6.4,4.56,1.68,0.704,0.376,0.3012654473554128,-100.86427696830945,-0.7483457398246346,-1.0822690963573098,-1.8306148361819443,0.1064327485380117,64.13349789985759,0.09194265941670786,0.23831506058857474,6.564220183486238,1.0281048148715817,0.602198174853124,1.41,-1.82,MAAC
235,Northern Ky.,54,1879,505,0.269,9.351851851851851,34.7962962962963,0.2687599787120809,143,2.6481481481481484,472.2,308,5.86,348,1418,516,69,0.966,9.555555555555555,1.2777777777777777,57,0.337,1.0555555555555556,4.814814814814815,260,693,0.369,6.4,3.92,1.62,0.706,0.37,0.3033628318584071,-96.5920657240444,-0.7166487785180943,-0.3585206344169123,-1.0751694129350065,0.10005321979776477,67.63639167193166,0.06660456450861667,0.25462229265715797,6.632782719186785,0.7770379142368177,0.580188860348705,1.64,-1.83,ASUN
236,Massachusetts,45,1493,379,0.254,8.422222222222222,33.17777777777778,0.25385130609511053,143,3.1777777777777776,391.1,197,4.53,237,1174,444,62,0.963,9.866666666666667,1.3777777777777778,42,0.332,0.9333333333333333,4.177777777777778,188,518,0.347,6.8,3.59,1.43,0.679,0.396,0.2970806732443413,-102.64677263548053,-0.761570670185286,-1.3709805229563163,-2.1325511931416026,0.09310113864701942,57.144403077100336,0.08299477655252467,0.23743386243386244,5.453848120685246,0.5840733467626041,0.6194485235361213,1.9,-1.84,Atlantic 10
237,Northwestern,54,1833,474,0.259,8.777777777777779,33.94444444444444,0.25859247135842883,178,3.2962962962962963,468.0,327,6.29,385,1404,585,67,0.967,10.833333333333334,1.2407407407407407,50,0.339,0.9259259259259259,4.666666666666667,252,617,0.337,5.4,4.19,1.7,0.676,0.315,0.2979277566539924,-121.20680082204186,-0.8992737147309999,-0.7094010083154697,-1.6086747230464695,0.07801418439716312,58.55913804622877,0.08460076045627377,0.2472885032537961,7.403846153846153,1.1045241519286866,0.5464589953905686,1.28,-1.88,Big Ten
238,Villanova,52,1761,431,0.245,8.288461538461538,33.86538461538461,0.2447473026689381,205,3.9423076923076925,465.1,237,4.58,292,1396,513,73,0.963,9.865384615384615,1.4038461538461537,43,0.335,0.8269230769230769,4.634615384615385,241,593,0.337,6.7,4.45,1.54,0.672,0.413,0.2930976430976431,-143.08041396454993,-1.061561352156003,-0.542974730918513,-1.6045360830745161,0.0919931856899489,50.49224584272889,0.0986050986050986,0.2299044406970208,5.650397763921737,0.871325949868866,0.6319144294668806,1.5,-1.89,Big East
239,The Citadel,59,1930,456,0.236,7.728813559322034,32.71186440677966,0.23626943005181347,233,3.9491525423728815,508.1,372,6.59,431,1525,548,78,0.964,9.288135593220339,1.3220338983050848,52,0.331,0.8813559322033898,4.322033898305085,255,678,0.351,7.5,4.78,1.74,0.6819999999999999,0.277,0.29857017157941046,-127.5523874753481,-0.9463537403002288,0.08993127408639479,-0.856422466213834,0.11502590673575129,59.63205111396702,0.10250769907611086,0.21461420541645376,7.634323951977957,0.8425040595338805,0.5430105497365659,1.56,-1.94,Southern
240,Jackson St.,60,1934,623,0.322,10.383333333333333,32.233333333333334,0.32213029989658737,258,4.3,487.1,289,5.34,397,1462,509,116,0.944,8.483333333333333,1.9333333333333333,110,0.424,1.8333333333333333,8.45,507,967,0.5,8.2,4.6,1.64,0.9239999999999999,0.61,0.3800614502253175,324.84811062957874,2.4101565686740316,-0.048222823175360675,2.361933745498671,0.1778697001034126,195.73265262006544,0.10569438754608768,0.28527918781725886,7.335249435434202,0.6711314197464022,0.5359096218479736,1.79,-1.98,SWAC
241,Hofstra,52,1765,441,0.25,8.48076923076923,33.94230769230769,0.24985835694050992,206,3.9615384615384617,454.0,319,6.32,365,1362,509,60,0.969,9.788461538461538,1.1538461538461537,37,0.338,0.7115384615384616,4.903846153846154,255,681,0.386,8.1,3.89,1.67,0.724,0.342,0.3119174757281553,-51.76412699850171,-0.38405533732463965,-0.27700464331059776,-0.6610599806352374,0.1359773371104816,81.92371413992514,0.1,0.22122403144300953,7.2356828193832605,0.3816160777180828,0.5490478721860496,2.1,-1.99,Coastal Athletic
242,Bucknell,52,1721,443,0.257,8.51923076923077,33.09615384615385,0.25740848343986056,171,3.2884615384615383,441.2,271,5.52,308,1325,549,69,0.964,10.557692307692308,1.3269230769230769,43,0.336,0.8269230769230769,4.538461538461538,236,635,0.369,6.2,4.5,1.6,0.7050000000000001,0.381,0.3031634182908546,-90.95003517568304,-0.6747886705419744,-1.0346703324681852,-1.7094590030101595,0.1115630447414294,67.3033461369572,0.08545727136431784,0.24296381390005745,6.2828649138712604,1.056785356491409,0.6004762281907133,1.37,-2.06,Patriot League
