Rank,Name,IP,W-L,BB,HA,WHIP
278,Mount St. Mary's,407,14-34,264,530,1.95
279,Cornell,310.1,25-Nov,231,377,1.96
280,Western Ill.,431,Aug-44,297,553,1.97
281,Siena,404,Nov-37,263,536,1.98
282,Akron,444.2,15-41,263,622,1.99
283,Norfolk St.,374.2,15-32,348,404,2.01
284,Western Mich.,425.2,18-36,252,608,2.02
285,Bowling Green,407.2,18-34,269,563,2.04
286,St. Bonaventure,370.2,May-39,241,517,2.04
287,New Mexico,466,21-33,223,745,2.08
288,Northern Colo.,406.2,Dec-39,256,601,2.11
289,Ark.-Pine Bluff,399.1,13-36-1,312,547,2.15
290,Iona,388.1,Jun-41,321,535,2.2
291,Mississippi Val.,321,10/31/2001,307,443,2.34
292,Saint Peter's,403,Sep-41,291,652,2.34
293,Alcorn,281,Feb-39,392,483,3.11
NR,California Baptist,482,36-20,221,493,1.48
NR,St. Thomas (MN),381.2,16-29,215,357,1.5
NR,UC San Diego,493.2,24-32,236,512,1.52
NR,Utah Tech,465.1,22-33,203,609,1.74
NR,Tarleton St.,447.1,17-36,213,570,1.75
NR,Bellarmine,460.2,Nov-43,285,556,1.83
NR,Merrimack,414.2,17-31-1,254,546,1.93
NR,North Ala.,440.1,Dec-41,281,607,2.02
,,,,,,
      ,,,,,,
